#{"t_start": 1760973612.715055, "env_id": "Pendulum-v1"}
r,l,t
-1152.921067,200,105.13783
-931.046135,200,105.462527
-903.305415,200,105.595398
-899.542149,200,105.900644
-1640.283151,200,106.248264
-1199.426813,200,106.597912
-894.211056,200,106.960956
-1339.763424,200,107.140846
-894.182409,200,107.499013
-1307.807322,200,107.890693
-874.854288,200,108.222009
-1786.925218,200,108.363461
-1177.035106,200,108.692011
-882.134219,200,109.011514
-1015.996104,200,109.336448
-1855.016436,200,109.652536
-888.24297,200,109.800611
-863.648156,200,110.114767
-1659.350246,200,110.490513
-1369.613414,200,110.814208
-880.180664,200,110.938683
-1686.297142,200,111.257897
-1590.685965,200,111.656511
-908.959764,200,112.006818
-1068.591823,200,112.341811
-1220.152278,200,112.490006
-1069.955434,200,112.827548
-1458.544071,200,113.16249
-890.013667,200,113.542215
-1576.766293,200,113.688338
-951.400418,200,114.020835
-964.685279,200,114.340785
-1256.973525,200,114.654571
-925.827716,200,114.991028
-1343.569672,200,115.140419
-1072.769951,200,115.448107
-1533.085395,200,115.763877
-1059.000788,200,116.104288
-900.470366,200,116.425368
-1051.099588,200,116.563189
-1432.753396,200,116.912113
-887.797841,200,117.245038
-888.373097,200,117.560797
-1508.433069,200,117.689833
-1014.798244,200,118.052791
-856.452774,200,118.379207
-1182.820304,200,118.737756
-1170.412727,200,119.073766
-1717.937936,200,119.227714
-1519.211931,200,119.578742
-1662.555791,200,119.894028
-1464.295091,200,120.205004
-1325.807219,200,120.339445
-1075.586835,200,120.661199
-1313.696744,200,120.983994
-923.413124,200,121.279637
-1498.039721,200,121.593019
-1621.150161,200,121.726411
-1074.828944,200,122.022762
-1713.242917,200,122.342823
-1187.250985,200,122.67748
-898.904724,200,122.824329
-901.141321,200,123.158556
-1462.389481,200,123.49634
-763.964666,200,123.834986
-940.869469,200,124.167828
-1346.689289,200,124.313596
-1696.952632,200,124.633648
-1505.595169,200,124.947089
-871.037394,200,125.293075
-974.324956,200,125.584613
-1495.424129,200,125.717359
-996.397187,200,126.029992
-974.233338,200,126.370037
-1490.044821,200,126.68139
-1453.324263,200,126.838924
-1043.253575,200,127.139685
-950.200834,200,127.520696
-1079.979433,200,127.968503
-1236.011303,200,128.35617
-981.394601,200,128.512368
-1054.516249,200,128.841788
-1788.13659,200,129.132247
-886.920347,200,129.47449
-1709.872809,200,129.682007
-1275.766115,200,130.061313
-1333.717817,200,130.424353
-875.627291,200,130.757919
-1011.326631,200,131.110286
-1221.14321,200,131.266521
-1426.792416,200,131.628912
-1154.964209,200,131.973183
-894.70276,200,132.337855
-991.811529,200,132.489963
-1671.390486,200,132.84213
-1207.746268,200,133.188447
-1453.652618,200,133.54566
-1424.361035,200,133.875824
-1029.2238,200,134.017503
-964.091233,200,134.329247
-1700.507574,200,134.649832
-1195.524786,200,134.981436
-1411.343365,200,135.291052
-942.862754,200,135.45365
-867.914381,200,135.783205
-1369.255396,200,136.116879
-1182.237348,200,136.444569
-1115.003827,200,136.610804
-1189.911692,200,136.926088
-1441.698786,200,137.219073
-1171.345531,200,137.593898
-875.490668,200,137.980996
-1056.723072,200,138.188807
-980.89309,200,138.617212
-1336.856972,200,138.951452
-1628.268993,200,139.364115
-1054.389684,200,139.553823
-988.278271,200,139.885277
-905.127044,200,140.247598
-973.10742,200,140.567141
-1764.458912,200,140.950459
-753.129559,200,141.104486
-855.996369,200,141.417376
-956.753724,200,141.749231
-1623.209752,200,142.081941
-871.429725,200,142.236456
-892.391761,200,142.593088
-1700.687252,200,142.969127
-1697.244329,200,143.306414
-1612.121666,200,143.613198
-851.621063,200,143.749021
-1806.674231,200,144.048339
-1075.031222,200,144.368021
-1194.754771,200,144.667464
-906.732799,200,145.000062
-1518.096517,200,145.162547
-966.557163,200,145.588697
-768.757038,200,145.933525
-923.690248,200,146.263282
-976.741633,200,146.425302
-1062.611473,200,146.752908
-1440.682086,200,147.061086
-859.496912,200,147.382787
-1005.694884,200,147.734775
-1082.07638,200,147.858895
-1006.740648,200,148.267987
-1097.973624,200,148.641469
-1488.149875,200,148.967411
-796.368748,200,149.110969
-866.631435,200,149.47294
-860.96546,200,149.846449
-1181.20762,200,150.175457
-886.02991,200,150.519065
-867.407729,200,150.662167
-760.898921,200,150.973478
-1073.483963,200,151.306611
-858.448928,200,151.631699
-1515.663788,200,151.78185
-1602.741248,200,152.11268
-1432.710246,200,152.4179
-1070.325026,200,152.73016
-1733.622383,200,153.059118
-870.517246,200,153.192313
-861.677724,200,153.517515
-1817.530647,200,153.827041
-1191.049277,200,154.138984
-1750.078006,200,154.444986
-1720.018381,200,154.590389
-774.832262,200,154.907776
-1498.778941,200,155.209846
-970.95643,200,155.526564
-1628.570345,200,155.662205
-1454.151209,200,155.970568
-1063.053525,200,156.314002
-1301.875123,200,156.635599
-1425.185471,200,156.938586
-1356.424278,200,157.077687
-1648.650238,200,157.401422
